Year,Gender,Division,Label,PPP,FTr,3FG%,3PAr,eFG%,Pace,OReb%,DReb%,TOV%
2013,Men,D1,D1 Men,0.91288977,0.320534999,0.319474563,0.342406649,0.453753604,68.71011052,0.293540297,0.648739496,0.221593862
2013,Men,D2,D2 Men,0.965393517,0.347706622,0.334909318,0.33326021,0.480181908,71.78316997,0.307743435,0.666640127,0.216745705
2013,Men,D3,D3 Men,0.996087611,0.33837089,0.337706357,0.320512506,0.493696193,71.68194201,0.320014405,0.688166432,0.211423206
2013,Women,D1,D1 Women,0.819524841,0.292341691,0.291924139,0.285540058,0.408447231,71.03945239,0.325503939,0.633091286,0.261926017
2013,Women,D2,D2 Women,0.841251432,0.324694415,0.29596342,0.285067188,0.419046549,73.08299108,0.325890126,0.650035336,0.258129503
2013,Women,D3,D3 Women,0.83514131,0.30873309,0.284346117,0.267263786,0.411822475,73.49716314,0.341049545,0.652644377,0.259377846
2014,Men,D1,D1 Men,0.955926939,0.363902633,0.327951292,0.344244384,0.464689752,69.60692778,0.288395348,0.653647799,0.201721356
2014,Men,D2,D2 Men,1.011343766,0.386403051,0.338948438,0.338847562,0.492213483,72.69750899,0.305981642,0.667587253,0.197836852
2014,Men,D3,D3 Men,1.032488096,0.371953167,0.343836938,0.324728984,0.50199829,72.24124243,0.312848982,0.690411348,0.192765568
2014,Women,D1,D1 Women,0.87498209,0.335351928,0.301924,0.293503809,0.426174163,73.25480751,0.319098551,0.64258,0.23790874
2014,Women,D2,D2 Women,0.876018214,0.361813198,0.301301366,0.292179113,0.430577727,75.33223431,0.31960544,0.651702128,0.246011755
2014,Women,D3,D3 Women,0.867468574,0.332239032,0.288687217,0.269148713,0.421269738,75.07993229,0.338167194,0.662664577,0.242514018
2015,Men,D1,D1 Men,0.92051162,0.336942638,0.322676331,0.352252243,0.454516818,68.20331039,0.283928429,0.654009288,0.213407137
2015,Men,D2,D2 Men,1.0023177,0.36095736,0.347921668,0.346906704,0.495731585,71.5684928,0.302177285,0.675107362,0.205322835
2015,Men,D3,D3 Men,1.021051809,0.348972076,0.340991816,0.331728856,0.502345992,71.36365224,0.313978041,0.698909348,0.200413148
2015,Women,D1,D1 Women,0.836430461,0.299450084,0.296883184,0.295019357,0.415248224,71.80377026,0.31333211,0.635985267,0.250036075
2015,Women,D2,D2 Women,0.878800454,0.331463872,0.302642085,0.292124574,0.430031387,73.5086947,0.317823989,0.660836237,0.237693145
2015,Women,D3,D3 Women,0.862944331,0.313437542,0.29549143,0.27275467,0.420244504,73.80646229,0.338403217,0.663728814,0.242686442
2016,Men,D1,D1 Men,0.936332898,0.321239403,0.322300534,0.368497348,0.462001906,71.90218482,0.275280157,0.668246154,0.202991104
2016,Men,D2,D2 Men,1.012395046,0.356269306,0.344713487,0.358128947,0.499661334,73.81167885,0.290375566,0.687789799,0.194583999
2016,Men,D3,D3 Men,1.039119836,0.354279418,0.345163216,0.346467001,0.508360149,74.70221731,0.302156441,0.706960926,0.188619837
2016,Women,D1,D1 Women,0.823808831,0.27935812,0.294033246,0.309317291,0.413100054,71.85552507,0.307641785,0.637855823,0.252110548
2016,Women,D2,D2 Women,0.876345807,0.303349774,0.305506658,0.302145204,0.434533692,73.33389788,0.319476087,0.663985765,0.239376593
2016,Women,D3,D3 Women,0.862180094,0.292120827,0.292565682,0.281636699,0.42230583,74.20711455,0.338072125,0.67036566,0.240421339
2017,Men,D1,D1 Men,0.933707967,0.313577697,0.325434366,0.377855706,0.467087863,72.38738675,0.26491026,0.673925811,0.205310075
2017,Men,D2,D2 Men,1.013198331,0.335218207,0.345653224,0.364211939,0.502616793,74.09373197,0.28709717,0.6925117,0.196139733
2017,Men,D3,D3 Men,1.043372294,0.343929046,0.35411915,0.355746272,0.515051065,74.66451328,0.300412221,0.712332859,0.191161698
2017,Women,D1,D1 Women,0.832715049,0.283236693,0.293507458,0.322970089,0.416301431,72.12293863,0.303899138,0.63682971,0.245931828
2017,Women,D2,D2 Women,0.887754682,0.305634936,0.30746541,0.314589833,0.438264112,73.52519616,0.315531951,0.670140845,0.23392295
2017,Women,D3,D3 Women,0.860786288,0.288486417,0.289574559,0.296602498,0.421480122,74.28029309,0.33338987,0.667741433,0.238269623
