Shot_Clock,total_made,total_attempts,total_points,PPS
0,30138,88027,69546,0.7900530519045293
1,7590,21269,17433,0.8196436127697588
2,8819,24273,20272,0.8351666460676472
3,10209,27756,23383,0.8424484796080127
4,11599,30944,26621,0.860296018614271
5,13042,34380,29848,0.8681791739383362
6,14696,38541,33755,0.8758205547339197
7,16520,42788,37691,0.8808778162101524
8,18793,48049,42931,0.8934837353534933
9,20517,52624,46698,0.8873897841289146
10,22816,58458,52201,0.892965890040713
11,25045,63751,57199,0.8972251415664068
12,26828,67657,61340,0.9066319819087456
13,28351,72091,64875,0.8999042876364595
14,29571,74607,67565,0.9056120739340813
15,30603,76437,69865,0.9140206967829716
16,30642,76531,70029,0.9150409637924501
17,30919,76521,70783,0.9250140484311496
18,30671,75500,70115,0.9286754966887417
19,30675,75117,70262,0.9353674933769985
20,31127,76456,71709,0.9379120016741656
21,31936,77657,73399,0.9451691412235858
22,33293,78090,76087,0.9743501088487643
23,32831,74727,74118,0.9918503352202015
24,32329,70894,71931,1.0146274720004513
25,35860,74441,77804,1.0451767171316881
26,41064,79205,86541,1.092620415377817
27,36021,66635,74859,1.123418623846327
28,19354,36767,40304,1.0962003970952212
29,6966,14267,15154,1.062171444592416
